No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V
0,24,0,0,0,0,0,0,1,0,0,0,0,0,538,0,1.0,0,777.0,0.1248206604232675,34774,0,0,0.0,0,,669.0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1171,2,0.0,0,788.0,0.2030150944155768,46535,0,1,13512.8,0,,
0,22,0,0,0,0,0,0,1,0,0,0,1,0,863,3,0.0,1,526.0,0.2456300896194504,51039,1,1,6361.0,0,,553.0
1,24,0,0,0,0,0,0,0,0,0,0,0,1,2682,2,0.0,0,963.0,0.427178031725785,47757,0,0,0.0,0,,
0,20,0,0,0,0,0,0,0,1,0,1,1,1,103,2,2.0,1,874.4000000000001,0.5056907646381739,44685,1,1,6934.2,1,,508.0
0,25,0,0,0,0,0,0,0,0,0,0,1,0,1536,3,0.0,0,954.0,0.1761888320221127,22133,0,0,0.0,0,,645.0
1,22,0,0,0,0,0,1,0,0,0,0,0,0,2046,0,0.0,1,2433.0,0.4179393956771022,36088,0,0,0.0,0,,
0,22,0,0,0,0,0,1,0,0,0,0,1,0,2453,1,1.0,1,1597.0,0.2843978322435826,52832,0,0,0.0,0,,611.0
0,24,0,0,0,0,0,0,1,0,0,0,1,0,533,1,2.0,0,523.0,0.3739345413464376,38953,0,1,6799.0,0,,501.0
1,19,0,0,0,0,0,0,1,0,1,0,0,0,787,0,0.0,0,390.4,0.3292026010095998,28396,0,1,11198.6,0,,
1,20,0,0,0,0,0,0,1,0,0,0,0,1,619,3,1.0,0,764.8000000000001,0.3136773002185362,35175,0,1,14447.3,0,,
0,24,0,0,0,0,0,1,0,0,1,0,1,1,576,0,1.0,0,272.0,0.1,26712,0,0,0.0,0,,676.0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0.0,1,1172.0,0.4191726586353438,27768,0,1,5453.7,0,,
1,20,0,0,0,0,0,1,0,0,1,0,1,0,2291,1,2.0,0,96.8,0.1471877818390966,27078,0,1,5657.4,0,,
0,25,0,0,0,0,0,1,0,0,0,0,1,0,71,1,2.0,0,808.0,0.2100557584971604,33313,0,0,0.0,0,,560.0
